id,title,viewCount,likeCount,favoriteCount,dislikeCount,commentCount,episode_title,season_num,episode_num
TohG7F8M3Ls,Bob Ross - Glacier Lake (Season 28 Episode 6),1160972,14005,0,311,1589,glacier lake,28,6
lLWEXRAnQd0,Bob Ross - Island in the Wilderness (Season 29 Episode 1),7529170,152477,0,2249,21209,island in the wilderness,29,1
kJFB6rH3z2A,Bob Ross - Reflections of Calm (Season 31 Episode 1),1432050,17979,0,334,2346,reflections of calm,31,1
kasGRkfkiPM,Bob Ross - Mountain Summit (Season 13 Episode 10),3041171,22498,0,542,3310,mountain summit,13,10
tWoInh2USOs,Bob Ross - Delightful Meadow Home (Season 26 Episode 2),453935,3930,0,96,457,delightful meadow home,26,2
UQ-RTZCOQn0,Bob Ross - Arctic Beauty (Season 6 Episode 7),2947352,30295,0,652,3020,arctic beauty,6,7
raAkJKeo0Sk,Bob Ross - First Snow (Season 26 Episode 3),216644,2304,0,40,363,first snow,26,3
HCsCatvigtw,Bob Ross - Mountain at Sunset (Season 12 Episode 10),1580910,11175,0,304,1114,mountain at sunset,12,10
jyknCVczn3Q,Bob Ross - Painting Clouds,101521,902,0,12,44,,,
qTDQt_PdlYc,Bob Ross - Lonely Retreat (Season 8 Episode 12),1128324,9387,0,238,832,lonely retreat,8,12
qx2IsmrCs3c,Bob Ross - In the Midst of Winter (Season 31 Episode 12),1244488,14871,0,403,1634,in the midst of winter,31,12
UOziR7PoVco,Bob Ross - Ebony Sunset (Season 1 Episode 3),474678,4997,0,48,535,ebony sunset,1,3
L5bXkI0-pEg,Bob Ross - Campfire (Season 3 Episode 10),2784963,28514,0,468,2608,campfire,3,10
vrAMRxBB5KI,Bob Ross - Secluded Bridge (Season 10 Episode 4),542296,5655,0,121,728,secluded bridge,10,4
o2cjLA_wgIk,Bob Ross - Mountain Challenge (Season 4 Episode 13),408583,2783,0,76,317,mountain challenge,4,13
zxj3xLDNxo0,Bob Ross - Golden Rays of Sunshine (Season 28 Episode 4),1381219,26535,0,422,1619,golden rays of sunshine,28,4
vgbMONXc9Cs,Bob Ross - Northern Lights (Season 8 Episode 13),1861056,25564,0,369,2395,northern lights,8,13
eTEKGOi6SVg,Bob Ross - Evening's Glow (Season 30 Episode 12),828040,10312,0,178,1113,,,
RqtDliGeyTg,Bob Ross - The Footbridge (Season 24 Episode 12),395348,4307,0,99,426,the footbridge,24,12
mEU0stNfkxI,Bob Ross - Evergreen Valley (Season 31 Episode 9),1164335,15578,0,283,1749,evergreen valley,31,9
zoTeyliLn5o,Bob Ross - Triple View (Season 10 Episode 11),548065,4868,0,104,583,triple view,10,11
4XxClvPZ1RE,Bob Ross - Gray Mountain (Season 24 Episode 1),503326,4764,0,133,516,gray mountain,24,1
