commentCount,dislikeCount,etag,favoriteCount,id,likeCount,viewCount
20867,2206,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/aFJsSmDi9XPxBq8FoZcpx9uvWjo""",0,lLWEXRAnQd0,149323,7393172
2314,330,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ZbuaG07r4lhthDQ-WCVFBVYrUdA""",0,kJFB6rH3z2A,17582,1403034
456,92,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/0dcbs-Whhl78lEcfNREgDKxOPHM""",0,tWoInh2USOs,3852,446389
2956,636,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/2inPtuSefvcAs7Hceqn4FvC53P0""",0,UQ-RTZCOQn0,29745,2901816
1573,308,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/rYRuYzUPOZzEjywrvXxXBFsmAM4""",0,TohG7F8M3Ls,13879,1150437
44,12,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/YDjU949UatPtyTo6ebhudAnfS1w""",0,jyknCVczn3Q,896,100568
1599,397,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Y5_2dqo8ZT24O7CSTeYs34Phi0s""",0,qx2IsmrCs3c,14547,1223956
2590,467,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/2c_0LAo9TDf07bdog4zyWfvkOOg""",0,L5bXkI0-pEg,28225,2762722
1584,417,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/zk5EDL5wR_AWVN9cXxlCjGpoCWk""",0,zxj3xLDNxo0,26210,1365919
1043,171,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SaJVlJH8JgO1CqS61zHSV5BAMvM""",0,eTEKGOi6SVg,9735,800784
2366,364,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/0Vv44T6aWlkLYzejZADe9mSxrCs""",0,vgbMONXc9Cs,25207,1840123
317,75,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/GhAXgBNOzINyvKJfgVRkmPPrRWo""",0,o2cjLA_wgIk,2755,403941
1731,280,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/5Gx2UXQF5_tOWCSmIyaAT_76ivM""",0,mEU0stNfkxI,15321,1147982
3304,538,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SFuhoDXnEVbm0LD4uTKwIeY7qRc""",0,kasGRkfkiPM,22334,3027857
426,99,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/9hPDMa6Y3w1VKAk1AdIbaYzaTCc""",0,RqtDliGeyTg,4291,394227
2591,312,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/T6LZ5x22gDMMYFa-1CIWrNmNfBc""",0,VnZEpic2UzU,22939,1277550
830,237,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/23xKor9XbLTdrAs8nm7ruz-JRfQ""",0,qTDQt_PdlYc,9353,1125252
1111,298,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/JHGqoeoN09qEPN7qOLSDNBzfyTg""",0,HCsCatvigtw,11023,1565433
362,39,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ZgyT0qtpiEgh4xJH8FkqKz_YXM4""",0,raAkJKeo0Sk,2280,214138
22,9,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/I9_WxwqrFj7X-WO5ldmLKK29BYo""",0,x-9CqidKRSM,342,53624
532,48,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/HelNaEvwCUHrMhortXBo3ZM_JA4""",0,UOziR7PoVco,4959,471879
1386,135,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/PzfBIYxHdbeYLu-RNUTGNAF3mCY""",0,I-ousb8-SD0,16886,1996577
1176,101,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/sxpNGF1aOqqNwVs4O_LcaZ3u6S4""",0,RInDWhYceLU,9463,854734
624,167,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/9BNmajKhdsiV28NRVyLcT1YLAc8""",0,4KYxkqlzyqM,4588,676497
725,120,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/CQfMWRiceBW7VkNo4BB46jNQaCo""",0,vrAMRxBB5KI,5548,533769
742,154,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/6DSog-Vtc48pVPKwFJSQL5DyJ5s""",0,1s58rW0_LN4,7402,637750
257,84,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/b6WL9EQ13yNo92Ri0AQr4IkjMIk""",0,530_cVmexiI,3441,407098
650,140,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/sph7tA2Zd-JJAb1L4K5dL4xMykc""",0,gMEZp47VKC0,9106,550700
638,112,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/VQDBcCACqs8LL8X4rOfJk2YMugM""",0,wrbGlR22K0Q,7265,616573
582,103,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ytClNIvkQB1Mo-YDXm0g5wwcmmA""",0,zoTeyliLn5o,4806,541886
499,126,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/k7hWjOAs2xyAeXAcACdVxseCuPU""",0,4XxClvPZ1RE,4635,493022
386,45,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/jp1bBe6-fZQoA9gEL_ySjSD7Cq4""",0,9BHWlbjd95c,2699,225173
6285,444,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ouiZB3AbUM6zHWZdQAeIMuMyKoc""",0,oh5p5f5_-7A,42653,3150950
1210,287,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WEtU0K3WXa8M3ge90s74a5L6AMY""",0,PutvF_P4588,11961,1314140
617,154,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/qDBhr2kkLeqpyXYXaLzc8MGwGQo""",0,Ugiwi8uizpg,6331,789639
423,75,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/VYOQTOZP7O2-re2SpXYrvoqpMKQ""",0,y6GVVjG4HMg,3138,338560
342,87,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/h3CmbMkN_SwdTDUmTpepVaHBib0""",0,RrBsbqO9aqI,3234,531488
360,145,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/aTFoUsTw1B9kGUgdPNOEefj0RwU""",0,OFKFUJ9eDNs,3699,696981
269,45,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/0G5Aqonl8-C07jyZg5XoTVOHn1k""",0,wJmi7-G9r-w,1290,142664
